users_id,date,cds,amt
62,1997-01-17,1,17.96
62,1997-02-13,1,13.97
62,1997-03-08,2,24.54
62,1997-03-14,2,28.14
62,1997-05-14,2,14.55
62,1997-05-21,1,5.78
62,1997-08-27,1,15.36
62,1997-10-01,2,25.98
62,1997-10-16,1,15.99
62,1997-10-29,3,41.97
63,1997-01-01,3,44.97
63,1997-11-22,2,26.98
63,1998-04-18,2,24.48
63,1998-05-21,2,24.48
64,1997-01-03,1,11.77
64,1997-02-12,2,13.98
64,1997-05-12,1,11.77
64,1997-05-13,1,14.96
64,1997-07-22,1,15.36
64,1997-09-20,3,41.47
64,1997-11-04,3,53.47
64,1997-11-28,8,59.92
64,1997-12-30,3,41.97
64,1998-03-03,1,7.68
64,1998-04-11,2,35.48
64,1998-04-23,2,21.98
64,1998-06-25,3,37.56
65,1997-01-01,1,18.77
65,1998-02-16,2,35.98
65,1998-03-22,1,13.99
66,1997-01-01,1,39.99
67,1997-01-01,2,29.73
67,1997-01-08,1,29.99
67,1997-01-17,1,11.77
68,1997-01-01,2,40.36
69,1997-01-01,6,105.31
69,1997-01-04,8,111.77
70,1997-01-01,5,72.23
71,1997-01-01,1,13.97
72,1997-01-01,1,11.99
73,1997-01-01,1,13.97
73,1997-02-28,2,24.14
73,1997-03-16,4,56.46
74,1997-01-01,1,41.99
75,1997-01-01,5,69.81
76,1997-01-01,1,9.99
77,1997-01-01,1,12.97
78,1997-01-13,3,41.52
78,1998-04-23,4,53.74
79,1997-01-01,6,77.44
80,1997-01-01,4,43.46
81,1997-01-01,2,74.76
81,1997-01-10,2,56.36
81,1997-01-17,3,35.31
81,1997-02-02,2,27.76
81,1997-02-20,3,35.31
81,1997-03-05,1,14.99
81,1997-04-05,1,13.77
81,1997-05-24,1,14.96
81,1997-06-05,5,82.79
81,1997-06-09,1,7.78
81,1997-06-19,1,14.96
81,1997-07-22,1,11.97
81,1997-09-15,2,26.98
81,1997-09-27,1,12.99
82,1997-01-01,3,38.5
82,1997-04-19,3,48.5
82,1997-09-27,2,30.98
82,1997-11-23,3,43.97
82,1998-02-27,3,40.56
82,1998-04-10,3,40.29
83,1997-01-01,1,13
83,1997-01-26,3,47.69
83,1997-07-23,3,19.5
83,1998-04-18,1,21.49
84,1997-01-01,1,13.97
85,1997-01-03,3,26.31
86,1997-01-01,2,23.94
87,1997-01-01,7,103.37
87,1997-05-31,2,29.92
87,1997-07-31,3,45.28
87,1997-10-08,2,27.98
88,1997-02-24,1,14.99
88,1997-10-22,2,19.98
89,1997-01-01,3,47.08
89,1997-01-11,2,30.72
89,1997-01-29,2,30.72
89,1997-03-27,2,27.13
89,1997-04-11,1,20.97
89,1997-05-27,1,15.36
89,1997-07-30,4,60.67
89,1997-08-23,2,46.42
89,1997-10-17,2,27.48
89,1997-10-30,2,18.98
89,1997-12-05,3,39.97
89,1997-12-22,2,29.48
89,1997-12-26,3,31.97
89,1997-12-29,1,19.49
89,1998-01-23,2,34.98
89,1998-02-11,2,26.98
89,1998-02-27,1,22.49
89,1998-06-10,1,40.99
90,1997-01-01,1,12.9
90,1997-01-08,1,11.77
91,1997-01-01,2,32.54
92,1997-01-01,2,35.98
92,1997-04-16,1,17.36
93,1997-01-01,9,122.09
93,1997-01-03,5,97.24
94,1997-01-02,4,44.1
95,1997-01-03,3,53.53
95,1997-01-14,3,47.11
95,1997-01-24,5,91.26
95,1997-02-03,2,37.98
95,1997-02-08,1,27.77
95,1997-02-10,2,25.13
95,1997-02-17,1,19.77
95,1997-03-04,4,67.46
95,1997-03-25,2,42.73
95,1997-04-14,1,14.37
95,1997-04-27,2,29.33
95,1997-05-11,2,26.56
95,1997-05-11,2,30.32
95,1997-05-26,2,29.33
95,1997-06-10,1,11.77
95,1997-06-30,1,28.18
95,1997-08-25,4,66.46
95,1997-09-21,4,45.96
95,1997-12-09,6,90.94
95,1997-12-19,2,82.98
95,1998-01-10,3,42.47
95,1998-02-02,2,24.98
95,1998-02-08,8,109.24
95,1998-02-24,5,105.45
95,1998-03-16,6,82.42
95,1998-04-28,7,106.93
95,1998-05-07,3,59.97
95,1998-06-10,4,65.44
95,1998-06-24,4,49.43
96,1997-01-01,4,57.67
96,1997-02-09,4,61.91
96,1997-02-14,3,29.5
96,1997-02-22,1,96.99
96,1997-03-15,6,75.22
96,1997-04-08,3,49.94
96,1997-04-17,4,60.48
96,1997-06-24,1,12.97
96,1997-07-09,2,23.74
96,1997-08-03,7,102.21
96,1997-10-30,4,114.46
96,1997-11-18,5,234.45
96,1997-12-07,1,248.49
96,1998-01-02,4,68.46
96,1998-01-17,4,45.46
96,1998-02-24,2,28.37
96,1998-03-09,3,30.86
96,1998-05-07,4,54.85
96,1998-06-27,4,49.96
97,1997-01-01,6,91.57
97,1997-10-22,6,80.94
97,1998-02-08,4,128.87
97,1998-03-28,2,23.37
98,1997-01-01,2,46.14
98,1997-05-23,2,30.32
99,1997-01-01,2,25.94
99,1997-01-19,2,28.34
99,1997-04-24,2,28.93
99,1997-07-26,4,52.1
99,1997-10-11,2,24.98
99,1997-11-13,3,40.97
99,1997-12-16,1,65.99
100,1997-01-01,1,13.77
100,1997-12-11,1,12.49
100,1998-04-20,2,28.98
101,1997-01-18,2,23.54
102,1997-01-01,1,14.37
102,1997-02-10,1,25.99
102,1997-11-28,1,11.49
102,1998-03-01,4,105.62
103,1997-02-17,4,51.08
103,1997-04-06,2,29.75
103,1998-04-17,3,29.66
104,1997-01-01,1,14.96
105,1997-01-01,3,35.31
106,1997-01-01,2,31.52
106,1997-01-19,2,29.92
106,1997-06-26,2,30.72
106,1997-11-04,2,27.98
106,1997-12-30,1,36.99
106,1998-01-31,3,44.97
107,1997-01-01,1,21.99
108,1997-01-01,1,17.96
109,1997-01-12,5,71.89
109,1997-02-02,7,132.57
110,1997-01-01,2,27.94
111,1997-01-01,1,35.99
111,1997-01-11,1,32.99
111,1997-03-15,4,77.96
111,1997-04-16,3,59.3
111,1997-04-24,2,134.98
111,1997-06-23,1,91.92
111,1997-07-22,3,47.08
111,1997-07-26,2,71.96
111,1997-10-25,3,78.47
111,1997-12-06,3,83.47
111,1998-01-18,4,84.46
111,1998-02-15,4,123.96
111,1998-02-21,2,32.98
111,1998-02-26,2,23.06
111,1998-05-10,1,72.99
111,1998-06-20,3,55.47
112,1997-01-01,1,11.77
112,1997-02-05,1,11.77
113,1997-01-01,3,32.91
113,1998-03-04,1,15.27
113,1998-03-07,1,11.49
114,1997-01-01,1,16.36
114,1997-05-01,2,28.13
114,1997-09-08,1,22.97
114,1998-02-10,1,28.49
114,1998-02-11,2,28.98
115,1997-01-01,1,13.97
116,1997-01-01,1,12.77
117,1997-01-01,2,18.74
117,1997-08-31,2,24.74
117,1998-03-19,1,15.49
118,1997-01-01,1,15.36
118,1997-06-24,4,58.49
119,1997-01-01,3,41.69
120,1997-01-01,1,22.97
120,1997-02-22,1,14.96
120,1997-03-30,1,11.77
120,1997-05-17,1,42.32
120,1997-12-18,1,11.49
121,1997-01-01,1,12.49
122,1997-01-01,2,27.74
123,1997-01-01,1,31.99
124,1997-01-01,2,28.93
124,1997-09-13,2,28.48
124,1997-10-16,2,26.98
124,1997-11-02,2,25.98
124,1997-12-12,2,27.98
125,1997-01-01,3,37.47
125,1997-06-22,1,13.72
125,1997-10-17,1,12.99
125,1997-11-21,1,6.49
125,1998-02-09,1,11.49
125,1998-06-08,2,26.48
126,1997-01-03,1,9.77
126,1997-12-02,2,292.98
127,1997-01-01,3,39.71
128,1997-01-01,3,20.37
128,1997-01-09,1,12.49
128,1997-02-07,2,22.75
128,1997-08-03,1,12.25
129,1997-01-01,1,12.49
130,1997-01-01,1,14.37
130,1997-01-25,1,5.99
130,1997-02-08,3,42.89
130,1997-06-01,1,10.77
130,1997-07-01,1,5.99
130,1997-08-13,1,14.96
130,1997-11-08,1,12.99
130,1998-04-29,1,12.99
131,1997-01-01,2,30.32
132,1997-01-01,3,53.69
132,1997-02-27,5,54.65
132,1997-04-01,2,27.13
132,1997-06-16,4,57.45
132,1997-10-06,5,67.95
132,1998-05-11,3,41.56
133,1997-01-01,1,18.99
133,1997-01-27,1,14.37
133,1997-02-01,1,9.77
133,1997-03-02,1,15.99
133,1997-05-04,3,47.33
133,1997-06-21,3,59.74
133,1997-11-11,2,32.98
134,1997-01-01,1,17.9
134,1997-05-05,1,9.99
134,1998-01-08,1,21.49
135,1997-01-01,3,41.7
135,1997-01-01,3,42.69
136,1997-01-01,2,44.98
136,1997-11-26,2,36.98
137,1997-01-01,2,27.73
138,1997-01-01,1,14.99
139,1997-01-06,1,11.77
140,1997-01-01,1,28.7
140,1997-05-03,1,15.36
141,1997-01-01,1,19.97
141,1997-03-16,2,19.54
141,1997-04-16,1,22.77
141,1997-08-27,2,44.34
141,1997-10-24,1,5.49
141,1998-02-22,1,11.88
141,1998-05-07,2,23.76
142,1997-01-02,1,15.36
142,1997-01-13,3,49.97
142,1997-03-30,1,19.99
142,1998-02-19,1,12.58
142,1998-04-11,1,24.49
143,1997-01-01,1,12.49
143,1997-01-01,1,28.99
144,1997-01-01,2,30.72
145,1997-01-01,1,14.79
145,1997-01-02,1,11.77
145,1997-01-12,2,26.73
145,1997-01-30,2,20.75
145,1997-02-25,1,15.96
145,1997-03-12,2,29.93
145,1997-03-12,4,56.47
145,1997-03-14,3,28.54
145,1997-04-05,1,13.97
145,1997-05-02,2,30.32
145,1997-05-03,1,15.96
145,1997-05-26,1,13.97
145,1997-07-07,1,13.97
145,1997-08-15,2,27.13
145,1997-09-13,2,25.98
145,1997-10-31,1,12.99
145,1997-11-06,1,12.99
145,1997-11-19,3,55.97
145,1998-02-23,1,12.58
145,1998-02-26,2,24.46
145,1998-03-14,1,11.88
145,1998-05-06,1,17.48
145,1998-05-30,2,27.37
146,1997-01-01,1,13.97
147,1997-01-28,2,27.14
147,1997-02-24,3,62.1
147,1997-05-17,1,13.97
147,1997-09-15,1,12.99
147,1997-09-15,1,14.99
147,1997-11-09,2,29.48
147,1997-12-03,6,67.94
147,1997-12-13,4,59.46
148,1997-01-01,1,14.96
148,1997-02-16,1,9.77
148,1997-06-02,1,9.77
148,1997-11-04,1,11.49
148,1997-11-07,3,40.97
148,1998-02-22,2,29.91
148,1998-03-21,2,29.57
149,1997-01-01,4,54.87
149,1997-01-24,4,51.67
150,1997-01-01,1,15.36
151,1997-01-01,1,13.97
152,1997-01-01,6,102
152,1997-01-06,2,21.54
152,1997-01-26,2,23.54
152,1997-02-03,2,28.93
152,1997-10-28,3,43.97
152,1998-01-18,2,23.98
153,1997-01-01,1,6.79
154,1997-01-01,1,14.37
154,1997-05-29,1,14.96
154,1997-09-27,1,13.99
154,1997-11-06,1,13.99
154,1998-04-26,1,11.88
155,1997-01-01,1,23.99
156,1997-01-01,1,10.77
157,1997-01-01,2,27.94
157,1997-02-26,4,52.27
158,1997-01-01,3,43.05
159,1997-01-01,2,19.75
160,1997-01-01,2,19.74
161,1997-01-01,1,19.77
161,1997-01-19,1,13.97
161,1997-02-22,3,38.9
161,1997-04-27,2,25.14
161,1997-09-12,3,36.97
161,1997-12-11,3,32.47
161,1997-12-14,3,79.97
161,1997-12-22,1,51.99
161,1998-02-07,2,25.98
161,1998-03-17,4,54.77
161,1998-06-01,2,36.98
162,1997-01-01,2,119.54
163,1997-01-01,2,25.74
164,1997-01-05,2,25.73
164,1997-02-07,3,38.5
164,1997-03-14,2,29.33
164,1997-06-06,2,27.94
164,1997-07-15,1,14.96
164,1997-07-25,3,42.7
164,1997-12-16,3,41.97
164,1998-06-29,2,24.46
165,1997-01-01,1,7.78
165,1998-03-11,2,17.98
165,1998-06-01,1,8.99
166,1997-01-01,2,29.53
166,1997-11-30,2,16.48
166,1997-12-13,3,36.97
166,1997-12-21,2,17.98
166,1997-12-24,3,36.97
166,1998-02-24,1,11.49
166,1998-03-18,1,11.88
166,1998-05-27,1,11.88
167,1997-01-19,2,30.32
167,1997-01-21,1,13.77
167,1997-03-08,1,14.96
167,1997-06-14,2,24.95
167,1997-10-11,1,12.99
167,1997-10-30,1,59.49
167,1997-11-23,1,11.49
167,1997-12-10,1,18.49
168,1997-01-01,1,14.96
169,1997-01-01,1,11.77
170,1997-01-01,2,29.92
170,1998-01-27,3,44.47
171,1997-01-01,1,14.96
172,1997-01-01,5,50.95
173,1997-01-01,1,18.36
173,1998-04-03,3,31.47
174,1997-01-01,1,15.36
174,1997-01-06,1,21.37
175,1997-01-01,1,27.77
176,1997-01-01,1,11.77
177,1997-01-01,2,42.14
177,1997-01-01,1,22.77
177,1997-01-03,1,15.99
177,1997-01-03,3,44.72
177,1997-01-12,1,14.37
177,1997-01-17,1,14.37
177,1997-02-02,1,13.97
177,1997-02-02,1,14.37
177,1997-02-07,2,30.92
177,1997-02-10,1,15.96
177,1997-02-23,1,16.76
177,1997-03-10,1,14.37
177,1997-03-11,1,15.96
177,1997-03-19,1,11.77
177,1997-03-19,1,15.36
177,1997-03-26,1,14.96
177,1997-04-25,1,14.96
177,1997-05-27,1,8.97
177,1997-06-08,1,11.77
177,1997-06-22,1,14.96
177,1997-07-18,1,14.96
177,1997-08-03,1,14.96
177,1997-09-05,1,14.96
177,1997-09-05,1,15.36
177,1997-10-26,1,15.49
177,1997-11-01,1,14.99
177,1997-11-19,1,17.99
177,1997-12-02,1,31.49
177,1997-12-05,1,22.49
177,1998-01-03,1,11.49
177,1998-02-04,1,11.49
177,1998-05-13,1,14.99
178,1997-01-01,1,12.49
179,1997-01-01,1,16.36
179,1997-02-15,1,14.96
179,1997-03-08,2,24.94
179,1997-07-23,1,21.97
179,1997-07-28,1,12.25
179,1997-08-03,1,14.96
179,1997-08-03,2,16.76
179,1997-08-17,1,9.98
179,1997-09-24,2,19.98
179,1997-09-25,1,9.99
179,1998-02-24,1,11.88
180,1997-01-01,2,25.88
180,1997-08-28,3,36.71
181,1997-01-01,3,43.7
182,1997-01-01,1,26.77
182,1997-09-27,1,12.99
182,1997-12-15,3,41.97
182,1998-05-18,1,9.99
183,1997-01-01,1,9.99
184,1997-01-01,1,19.99
184,1998-05-18,1,11.88
185,1997-02-27,3,26.07
185,1997-03-22,1,14.79
185,1997-03-22,1,6.99
185,1998-03-27,3,39.36
185,1998-05-22,2,27.98
186,1997-01-02,1,16.96
186,1997-09-17,1,17.49
187,1997-01-01,2,31.32
187,1997-02-02,1,4.79
188,1997-01-01,1,13.77
189,1997-01-01,15,294.03
190,1997-01-01,1,15.36
191,1997-01-05,6,70.23
192,1997-01-01,1,10.77
192,1997-01-22,2,30.92
192,1997-03-22,2,28.93
192,1997-06-01,3,59.69
192,1997-07-14,1,14.96
192,1997-08-01,1,14.96
193,1997-01-01,2,27.94
194,1997-01-01,10,168.89
194,1997-01-11,6,86.89
195,1997-01-06,1,15.36
195,1997-10-11,1,9.49
195,1997-10-24,2,28.98
195,1997-10-25,1,11.49
195,1997-10-29,1,22.49
195,1997-11-01,1,11.49
195,1998-01-20,1,14.49
196,1997-01-01,2,25.54
197,1997-01-01,1,12.49
197,1997-03-02,1,12.49
197,1997-05-05,1,28.99
198,1997-01-01,1,15.76
199,1997-01-01,1,14.37
200,1997-01-01,3,39.93
200,1997-01-22,2,44.36
201,1997-01-01,1,14.96
201,1997-04-05,1,14.37
201,1997-10-18,1,9.49
201,1998-01-11,1,9.49
201,1998-04-28,1,24.99
202,1997-01-01,8,113.94
202,1997-01-02,2,32.52
203,1997-01-01,1,20.99
203,1997-02-27,1,13.97
203,1997-04-05,1,14.9
203,1997-07-24,1,13.97
204,1997-01-15,5,72.23
205,1997-01-01,1,12.49
205,1997-03-18,1,19.3
205,1997-05-13,1,19.3
205,1997-12-07,2,50.98
206,1997-01-01,1,17.99
207,1997-01-01,1,19.3
207,1997-03-22,1,34.99
207,1997-11-16,3,39.97
208,1997-01-11,5,63.25
208,1998-02-21,5,70.38
209,1997-01-19,4,66.26
209,1997-02-24,2,29.92
209,1997-03-15,1,19.99
210,1997-01-01,4,59.66
210,1998-03-26,2,26.37
211,1997-01-01,1,7.78
212,1997-01-01,1,14.37
213,1997-01-01,1,10.77
213,1997-01-19,1,11.77
214,1997-01-01,1,11.77
214,1997-01-03,3,44.73
214,1997-01-08,1,14.79
214,1997-01-25,2,23.54
214,1997-04-07,3,46.51
214,1997-05-22,3,40.91
214,1997-10-21,3,39.97
215,1997-01-01,1,11.77
216,1997-01-01,1,13.97
217,1997-01-01,2,57.54
217,1997-12-09,8,113.92
217,1998-01-29,1,12.58
217,1998-06-02,1,11.88
218,1997-02-06,4,57.48
219,1997-01-01,3,38.51
219,1997-05-17,3,35.51
220,1997-01-01,4,57.85
221,1997-01-01,1,12.49
222,1997-01-01,1,29.99
222,1997-02-21,1,15.36
222,1997-10-30,2,40.98
223,1997-01-01,3,47.93
224,1997-01-01,2,28.33
225,1997-01-01,2,24.98
225,1997-01-18,3,37.47
225,1997-02-27,1,6.79
225,1997-04-16,1,12.49
225,1997-08-01,1,23.88
226,1997-01-02,2,35.93
226,1997-02-23,2,26.73
226,1997-04-20,2,23.76
226,1997-07-19,2,24.74
226,1998-02-15,1,15.49
226,1998-05-05,3,43.47
227,1997-01-01,1,34.97
227,1997-01-17,1,13.77
227,1997-03-08,1,14.96
227,1997-05-11,3,86.51
227,1997-08-24,1,14.37
228,1997-01-01,2,25.98
228,1997-02-06,2,23.54
228,1997-02-11,1,13.97
228,1997-02-12,1,27.77
228,1997-02-28,1,9.98
228,1997-03-11,1,15.36
228,1997-05-27,1,21.97
228,1997-05-31,1,17.3
228,1997-07-08,3,51.75
228,1997-08-07,2,36.74
228,1997-08-28,1,23.97
228,1997-12-29,3,41.47
228,1998-01-06,1,29.99
229,1997-01-01,1,12.49
229,1997-01-06,2,19.28
229,1997-08-12,1,12.25
229,1998-03-12,2,19.98
229,1998-06-27,1,19.49
230,1997-01-01,2,39.98
230,1997-06-06,2,39.98
231,1997-01-01,5,69.04
232,1997-01-01,2,42.98
233,1997-01-01,1,12.99
234,1997-01-01,1,13.97
234,1997-02-04,1,9.99
235,1997-01-01,1,7.98
236,1997-01-01,1,16.7
237,1997-01-01,2,23.54
238,1997-01-23,7,88.69
238,1997-02-06,3,36.33
238,1997-04-20,4,59.06
238,1997-06-25,3,47.89
238,1997-07-27,6,73.22
239,1997-01-01,2,28.74
240,1997-01-01,1,15.99
240,1997-03-08,1,14.96
241,1997-01-16,2,24.74
241,1997-05-03,1,14.96
241,1998-03-26,2,36.37
241,1998-05-09,2,24.48
242,1997-01-01,3,35.11
242,1997-01-17,2,30.32
243,1997-01-02,2,17.96
244,1997-01-01,3,46.64
244,1997-01-30,8,117.6
244,1997-02-04,3,35.31
244,1997-02-22,3,41.69
244,1997-03-28,4,56.47
244,1997-03-29,2,30.96
244,1997-04-02,3,41.9
244,1997-04-20,3,44.88
244,1997-07-27,11,144.98
244,1997-08-11,4,59.65
244,1997-08-11,1,46.77
244,1997-08-17,3,32.31
244,1997-08-23,7,96.97
244,1997-09-10,5,65.95
244,1997-09-14,1,12.99
244,1997-11-20,9,119.41
244,1998-01-24,6,86.44
244,1998-03-12,4,44.46
244,1998-03-13,1,27.99
244,1998-03-29,2,32.48
244,1998-04-09,2,36.71
244,1998-05-14,1,11.88
244,1998-06-03,1,26.99
244,1998-06-07,1,12.99
244,1998-06-10,1,12.99
245,1997-01-01,1,14.96
245,1997-03-17,1,7.99
245,1997-10-22,1,12.99
245,1997-12-03,2,30.48
245,1997-12-03,1,10.49
245,1998-01-21,4,57.85
245,1998-06-11,1,13.99
246,1997-01-02,1,12.97
246,1997-01-17,3,37.51
246,1997-02-16,2,28.34
246,1997-02-18,3,37.51
246,1997-04-23,7,85.79
246,1997-05-08,4,52.87
246,1997-06-18,2,31.32
246,1997-07-24,1,29.37
246,1997-09-05,2,30.92
246,1997-09-28,2,30.98
246,1997-10-19,4,74.46
246,1997-10-22,3,41.47
246,1997-12-04,1,13.99
246,1997-12-14,4,57.46
246,1997-12-23,2,27.48
246,1998-02-03,2,26.87
246,1998-03-09,3,45.47
246,1998-03-14,1,11.88
246,1998-03-26,2,22.67
246,1998-06-20,4,50.85
247,1997-02-03,1,19.3
247,1997-07-26,1,23.88
247,1997-12-16,1,19.99
247,1998-05-12,2,30.98
